"Anno","Tipologia ","Denominazione"
"2024","brevetto","In depth polytypes identification on 4H-SiC by micro-Raman technique"
"2024","brevetto","Benefici di un nuovo fungo medicinale"
"2024","brevetto","Metodo e kit per la misurazione delle distanze intra- e inter-cellulari"
"2024","brevetto","Bifenilammidi come inibitori duali di SOCE e DHODH"
"2024","brevetto","Molecole di acido nucleico che aumentano la traduzione di un mRNA di prpf31"
"2024","brevetto","Sinovia 3D"
"2024","brevetto","Dispositivo a chip per un organo su chip (OoC)"
"2024","brevetto","Synthesis of an intermediate of a gadolinium-based contrast agent"
"2024","brevetto","Novel lentiviral vector particles"
"2024","brevetto","Process for the preparation of ceramides"
"2024","brevetto","Agenti antibatterici, rispettivi composizioni ed usi"
"2024","brevetto","Terapia mediata dall'interferenza a RNA per malattie neoplastiche"
"2024","brevetto","Inibitori di eme ossigenasi, relative composizioni e usi"
"2024","brevetto","Core-shell capsules of methacrylate or acrylate modified polysaccharides"
"2024","brevetto","Ligands and Fe(Iii) complexes thereof for MRI"
"2024","brevetto","Sonda diretta all'enzima ALDH1a3 e relativo uso nella diagnosi di glioblastoma"
"2024","brevetto","Inibitore o antagonista di Sirt1 per uso nella prevenzione e/o trattamento di una patologia indotta da HPV"
"2024","brevetto","Composti bifenilici come modulatori del SOCE, composizioni e relative usi"
"2024","brevetto","Chelanti pentadentati rigidificati utili per la marcatura [Al18F]2+ di biomolecole"
"2024","brevetto","Sequenze di promotore endotelio-specifico e loro utilizzo"
"2024","brevetto","Promotore per espressione genica cellulo-specifica"
"2024","brevetto","Metodo per indurre e differenziare cellule staminali pluripotenti"
"2024","brevetto","Modulatori di SOCE, composizioni e relativi usi"
"2024","spinoff","AI-Twin S.r.l."
"2024","spinoff","Navita S.r.l."
"2024","spinoff","Greenstep S.r.l.s."
"2024","spinoff","Novanalitica S.r.l.s."
"2024","spinoff","Inferendo S.r.l."
"2024","spinoff","Notovir S.r.l."
"2024","spinoff","Chemicare S.r.l."
"2024","spinoff","Novaicos ImmunoTherapeutics S.r.l."
"2024","spinoff","NoiVita S.r.l.s."
"2024","spinoff","Tissuegraft S.r.l."
"2024","spinoff","iXtal S.r.l.s."
"2024","spinoff","PlantaChem S.r.l.s"
