Anno ;Tipologia;Descrizione Dipartimento;Numero;;
2024;Numero di spin off universitari;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;0;;
2024;Numero di spin off universitari;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;2;;
2024;Numero di spin off universitari;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;0;;
2024;Numero di spin off universitari;DIPARTIMENTO DI SCIENZE DEL FARMACO;5;;
2024;Numero di spin off universitari;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;1;;
2024;Numero di spin off universitari;DIPARTIMENTO DI SCIENZE DELLA SALUTE;3;;
2024;Numero di spin off universitari;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;1;;
2024;Numero di spin off universitari;DIPARTIMENTO DI STUDI UMANISTICI;0;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;0;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;1;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;0;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI SCIENZE DEL FARMACO;9;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;3;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI SCIENZE DELLA SALUTE;8;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;2;;
2024;Numero di brevetti registrati e approvati presso sedi nazionali ed europee;DIPARTIMENTO DI STUDI UMANISTICI;0;;
