Anno;Titolo ;Contesto di riferimento esterno;Categoria
2024;"""Comunicazione digitale e liberta' di espressione: fake news, hate speech e manipolazione digitale""";"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;"""Mangio e bevo: ci vuole fegato!"" parte delle Attivita' di divulgazione della cultura scientifica del progetto “QualunqueMente”";"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;"""Una mattina in laboratorio""";"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;“Dalle cellule alle biomolecole”;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;“Rifugiati e mass media: un immaginario problematico”, relazione presso la Festa dei popoli, Vercelli;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;Armonografo: disegnare la musica;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;Attivita' di divulgazione scientifica nelle scuole;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;Attivita' PLS Istituto Balbo Casale Monferrato  “Tu conosci le cellule e le proteine in esse contenute?”;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;Attivita' PLS Summer LAB Liceo Volta Alessandria “Colture e saggi cellulari, tecniche biochimiche/biomolecolari su cellule tumorali”;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;Celiachia day - La parola agli esperti;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
2024;ChimicAmica 2024;"locale 
";"Attivita' di coinvolgimento e interazione con il mondo della scuola (es. simulazioni ed esperimenti hands-on e altre Attivita' laboratoriali);
 
"
