Anno;Obiettivi Agenda 2030;n. attivita TM
2024;3-Buona salute e benessere delle persone;433
2024;4-Educazione paritaria e di qualita;237
2024;16-Pace giustizia e istituzioni solide;168
2024;10-Ridurre le disuglianze;145
2024;5-Parita di genere;113
2024;9-imprese innovazione infrastrutture;109
2024;11-Citta e comunità sostenibili;100
2024;13-I cambiamenti del clima;88
2024;12-Consumo e produzione responsabile;73
2024;8-Lavoro diginitoso e crescita economica;65
2024;15-Vita sulla terra;57
2024;17-Partnership per obiettivi;46
2024;7-Energia puita e accessibile;44
2024;6-Acqua pulitca e servizi igienico sanitari;24
2024;2-Fame Zero;23
2024;1-Povertà Zero;20
2024;14-Vita sotto acqua;15
