Anno di iscrizione;Codice Corso;Descrizione;Struttura di riferimento;Anno di corso;Numero di dottorandi
2022;16;CHEMISTRY & BIOLOGY;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;1;9
2022;16;CHEMISTRY & BIOLOGY;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;2;15
2022;16;CHEMISTRY & BIOLOGY;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;3;5
2022;18;SCIENZE E BIOTECNOLOGIE MEDICHE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;1;13
2022;18;SCIENZE E BIOTECNOLOGIE MEDICHE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;2;16
2022;18;SCIENZE E BIOTECNOLOGIE MEDICHE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;3;14
2022;20;GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;1;5
2022;20;GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;2;5
2022;20;GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;3;6
2022;21;FOOD HEALTH AND LONGEVITY;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;1;28
2022;21;FOOD HEALTH AND LONGEVITY;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;2;29
2022;21;FOOD HEALTH AND LONGEVITY;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;3;23
2022;22;DRUG INNOVATION;DIPARTIMENTO DI SCIENZE DEL FARMACO;1;7
2022;22;DRUG INNOVATION;DIPARTIMENTO DI SCIENZE DEL FARMACO;2;21
2022;22;DRUG INNOVATION;DIPARTIMENTO DI SCIENZE DEL FARMACO;3;6
2022;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;1;9
2022;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;2;10
2022;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;3;6
2022;24;FILOSOFIA;DIPARTIMENTO DI STUDI UMANISTICI;1;20
2022;24;FILOSOFIA;DIPARTIMENTO DI STUDI UMANISTICI;2;16
2022;24;FILOSOFIA;DIPARTIMENTO DI STUDI UMANISTICI;3;18
;;;;;
;;;;;
;;Fonte: Esse3 estrazione 28/10/2024;;;
