"Anno di iscrizione","Codice Corso","Descrizione","Struttura di riferimento","Anno di corso","Numero di dottorandi"
"2023","16","CHEMISTRY & BIOLOGY","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","1","16"
"2023","16","CHEMISTRY & BIOLOGY","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","2","8"
"2023","16","CHEMISTRY & BIOLOGY","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","3","14"
"2023","18","SCIENZE E BIOTECNOLOGIE MEDICHE","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","1","15"
"2023","18","SCIENZE E BIOTECNOLOGIE MEDICHE","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","2","13"
"2023","18","SCIENZE E BIOTECNOLOGIE MEDICHE","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","3","14"
"2023","20","GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","1","6"
"2023","20","GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","2","5"
"2023","20","GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","3","5"
"2023","21","FOOD HEALTH AND LONGEVITY","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","2","28"
"2023","21","FOOD HEALTH AND LONGEVITY","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","3","26"
"2023","22","DRUG INNOVATION","DIPARTIMENTO DI SCIENZE DEL FARMACO","1","12"
"2023","22","DRUG INNOVATION","DIPARTIMENTO DI SCIENZE DEL FARMACO","2","7"
"2023","22","DRUG INNOVATION","DIPARTIMENTO DI SCIENZE DEL FARMACO","3","21"
"2023","23","ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI","DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI","1","13"
"2023","23","ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI","DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI","2","9"
"2023","23","ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI","DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI","3","8"
"2023","24","FILOSOFIA","DIPARTIMENTO DI STUDI UMANISTICI","2","19"
"2023","24","FILOSOFIA","DIPARTIMENTO DI STUDI UMANISTICI","3","16"
"2023","25","FOOD, HEALTH AND LONGEVITY STUDIES","DIPARTIMENTO DI SCIENZE DELLA SALUTE","1","18"
