Anno;Nome Corso di studio;Codice Classe;Descrizione Classe;Numero laureati aa 2023
2023;Alimenti Salute e Ambiente;LM-6;Biologia;13
2023;AMMINISTRAZIONE, PROFESSIONE E PERSONE;LM-77;Scienze economico-aziendali;45
2023;Biologia;LM-6;Biologia;70
2023;Biotecnologie;L-2;Biotecnologie;169
2023;BIOTECNOLOGIE FARMACEUTICHE;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;13
2023;Biotecnologie mediche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;80
2023;Chimica;L-27;Scienze e tecnologie chimiche;26
2023;Chimica e tecnologia farmaceutiche;LM-13.;Farmacia e farmacia industriale;73
2023;Chimica verde;L-27;Scienze e tecnologie chimiche;13
2023;ECONOMIA AZIENDALE;L-18;Scienze dell'economia e della gestione aziendale;349
2023;Economia e Management;LM-56;Scienze dell'economia;35
2023;Farmacia;LM-13.;Farmacia e farmacia industriale;81
2023;Filologia moderna, classica e comparata;LM-14;Filologia moderna;18
2023;Filosofia e Comunicazione;L-5;Filosofia;28
2023;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);L/SNT2;Professioni sanitarie della riabilitazione;60
2023;GIURISPRUDENZA;LMG/01;Magistrali in giurisprudenza;58
2023;Igiene dentale (abilitante alla professione sanitaria di Igienista dentale);L/SNT3;Professioni sanitarie tecniche;22
2023;Infermieristica (abilitante alla professione sanitaria di Infermiere);L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;233
2023;Informatica;L-31;Scienze e tecnologie informatiche;52
2023;Lettere;L-10;Lettere;33
2023;Lingue Straniere Moderne;L-11;Lingue e culture moderne;74
2023;Lingue, Culture, Turismo;LM-37;Lingue e letterature moderne europee e americane;37
2023;Lingue, Culture, Turismo;LM-49;Progettazione e gestione dei sistemi turistici;12
2023;MANAGEMENT E FINANZA;LM-77;Scienze economico-aziendali;119
2023;Medicina e chirurgia;LM-41;Medicina e chirurgia;80
2023;PROMOZIONE E GESTIONE DEL TURISMO;L-15;Scienze del turismo;70
2023;Scienze Biologiche;L-13;Scienze biologiche;244
2023;Scienze Chimiche;LM-54;Scienze chimiche;19
2023;Scienze infermieristiche e ostetriche;LM/SNT1;Scienze infermieristiche e ostetriche;76
2023;Scienze Politiche e dell'Amministrazione;L-36;Scienze politiche e delle relazioni internazionali;22
2023;Servizio Sociale;L-39;Servizio sociale;32
2023;Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di Tecnico di laboratorio biomedico);L/SNT3;Professioni sanitarie tecniche;19
2023;Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di Tecnico di radiologia medica);L/SNT3;Professioni sanitarie tecniche;14
;;;;
;Fonte Indicatore Anvur 04/10/2025 (iC00h);;;
