Anno;Codice inquadramento;Descrizione inquadramento;SEDE_CAP;Affrenza organizzativa;Afferenza organizzativa Polo
2023;000D00;Dirigente comandato in entrata;13100;Direzione Generale - Divisione Didattica;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo Pos.Econ. D1 (tempo det. INPDAP);28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;13100;Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Eventi, Orientamento e Public Engagement;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Affrenza organizzativa+E:E;Polo di Novara
2023;C 5;Pers. Tecnico Amm.vo - Pos.Econ. C5;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 2;Pers. Tecnico Amm.vo - Pos.Econ. C2;28100;Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Novara;Polo di Novara
2023;C 6;Pers. Tecnico Amm.vo - Pos.Econ. C6;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo Pos.Econ. D1 (tempo det. INPDAP);13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Progettazione e Gestione Ricerca Polo VC;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo Pos.Econ. D1 (tempo det. INPDAP);28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara;Polo di Novara
2023;D 4;Pers. Tecnico Amm.vo - Pos.Econ. D4;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Staff Sviluppo e Attività Istituzionali DELP;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Vercelli;Polo di Vercelli
2023;D 4;Pers. Tecnico Amm.vo - Pos.Econ. D4;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Tesoreria e Flussi di Cassa;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;13100;Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Vercelli;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Rettorato - Settore Sicurezza, Prevenzione e Protezione;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Scuola di Medicina e Scuole di Spec.;Polo di Novara
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Laboratori Polo di Vercelli;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Vercelli;Polo di Vercelli
2023;B 5;Pers. Tecnico Amm.vo - Pos.Econ. B5;13100;Direzione Generale - Staff di Supporto alla DG e Rapporti con il S.S.N.;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo NO;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo Pos.Econ. D1 (tempo det. INPDAP);15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo.;Amministrazione Centrale
2023;C 4;Pers. Tecnico Amm.vo - Pos.Econ. C4;15121;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL;Polo di Alessandria
