"Anno di presentazione del progetto","Stato del progetto","Tipologia ente","Titolo del progetto","Ruolo nel progetto","Tipologia bando"
"2025","Approvato","Nazionali","Decoding Tumor and Stromal Molecular Signatures in Malignant Pleural Mesothelioma through Digital Spatial Profiling","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","NAMPT: novel biomarker and therapeutic target in Malignant pleural mesothelioma?","Coordinatore","Ricerca"
"2025","Approvato","Regionali","SVIZZERA - ITALIA: MODELLI PER LO SVILUPPO ECONOMICO verso il 2050","Partner",""
"2024","Approvato","Nazionali","Il ruolo prognostico e predittivo del microbiota intestinale nei pazienti con mesotelioma avanzato: studio pilota","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Caratterizzazione delle comunità microbiche delle colature arboree al fine di sviluppare strategie conservazionistiche per le specie associate di sirfidi saproxilici minacciati o specie bandiera","Coordinatore","Ricerca"
"2025","Approvato","Regionali","Certamen d’amore","Coordinatore","Ricerca"
"2025","Approvato","Nazionali","Dissecting IFI16-mediated Disruption of Virus-Driven Liquid-Liquid Phase Separation during Coronavirus Replication","Coordinatore","Ricerca"
"2025","Approvato","Regionali","Ecosistema-insubre transfrontaliero per start up e imprese d’eccellenza nell’ambito delle staminali per la medicina rigenerativa","Partner",""
"2025","Approvato","Regionali","UPO4KIDS-Conoscenza e prevenzione nelle scuole dell’infanzia del Comune di Novara e comuni limitrofi","Coordinatore",""
"2025","Approvato","Extra-Europei","HemoAdsorption combined with HemoDialysis (HAHD) to limit BRAIN AGING and cognitive decline in end stage kidney disease (ESKD) patients","Coordinatore","Ricerca"
"2025","Approvato","Nazionali","Uncovering the genomic architecture of aging in Italy: whole genome sequencing in the Novara cohort","Coordinatore","Ricerca"
"2025","Approvato","Regionali","Piattaforma di modelli 3D innovativi per la medicina personalizzata e lo studio del microambiente tumorale","Coordinatore",""
"2024","Approvato","","In vitro evaluation of novel Store-Operated Calcium Entry negaTive mOdulator on immune cells of Patients with Multiple Sclerosis","Partecipante","Ricerca"
"2025","Approvato","Nazionali","REACT - Resilience Enhancement of Migrants through Active Community Participation and peer-Training","Coordinatore","Ricerca"
"2024","Approvato","Regionali","TeRritori tra Ossola e VallemaggiA","Partner","Ricerca; Terza Missione"
"2024","Approvato","Regionali","SensibilizzArte: l'arte come strumento di sensibilizzazione","Partner","Ricerca; Terza Missione"
"2024","Approvato","Regionali","AGRIfood by-product for enhanced sustainable Human hEAlth and pLanT defense","Partner","Ricerca; Terza Missione"
"2025","Approvato","Nazionali","Targeting host and tumor metabolic factors in patients with high-risk early breast cancer: the NEOMET project","Coordinatore","Ricerca"
"2024","Approvato","Europei","Integrating mutational signatures and immune circulating biomarkers to enhance immunotherapy efficacy in triple negative breast cancer","Coordinatore",""
"2024","Approvato","Nazionali","Giovani protagonisti: che bella impresa! sull’iniziativa “UPI GAME 2&quot;","Partner",""
"2024","Approvato","Nazionali","Astroglial endoplasmic reticulum-mitochondria interaction in Alzheimer's disease","Coordinatore",""
"2024","Approvato","Europei","BiOmimetic fluorinated nanoProbes for multIscaleTumor detection by MRI and Advanced Raman techniques","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Sviluppo di una terapia a RNA per la retinite pigmentosa","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Non-coding RNA rescue of PRPF31 Retinitis PigmentosA (RP11): a proof of concept for an innovative effective therapy","Coordinatore","Ricerca"
