"Anno di pubblicazione","ID prodotto","Handle","Titolo","rivista: denominazione","DOI","scopus: funding funders"
"2025","232200","11579/215516","SPRAY-DRIED MICROPARTICLES CONTAINING A FISH WASTE EXTRACT: A PRECIOUS SOURCE OF BIOACTIVE LIPIDS AND VITAMIN D3","","",""
"2025","235200","11579/217946","Machine learning for the rElapse risk eValuation in acute biliary pancreatitis: The deep learning MINERVA study protocol","WORLD JOURNAL OF EMERGENCY SURGERY","10.1186/s13017-025-00594-7","100013003 - University of Cagliari;"
"2025","238000","11579/219529","Formosulfathiazole: A Structural Revision","CHEMPLUSCHEM","10.1002/cplu.202500406","501100000780 - European Commission; 100012352 - Università degli Studi di Milano; 501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","239900","11579/223502","Gemcitabine-loaded ICOS-Fc decorated nanosponges: A new chemo immunotherapy combination against pancreatic cancer","INTERNATIONAL JOURNAL OF PHARMACEUTICS","10.1016/j.ijpharm.2025.125869","501100006692 - Università degli Studi di Torino; 501100005010 - Associazione Italiana per la Ricerca sul Cancro; 501100005010 - Associazione Italiana per la Ricerca sul Cancro;"
"2025","241400","11579/222244","Unmasking pandemic patterns: decoding the COVID-19’s impact on mortality in Italy with Generalized Gamma overdispersion model","BMC PUBLIC HEALTH","10.1186/s12889-025-25036-6",""
"2025","241700","11579/222413","BI-DIRECTIONAL CROSSTALK BETWEEN NAD/NAMPT AND IFN-Γ/PD-L1 AXES IN MELANOMA","","",""
"2025","244300","11579/224734","Measurement of the Drell–Yan forward-backward asymmetry and of the effective leptonic weak mixing angle in proton-proton collisions at s=13TeV","PHYSICS LETTERS. SECTION B","10.1016/j.physletb.2025.139526",""
"2025","120374","11579/147380","Stressed at work and distressed out of work: Unveiling the implications of time-related work stress on work climate in the nonprofit sector","JOURNAL OF GENERAL MANAGEMENT","10.1177/03063070221140729",""
"2025","123418","11579/149863","Face(s) and facework(s) in a corpus of German and Italian compliments","","10.1163/9789004702837_009",""
"2025","141026","11579/161544","What's new on female genital mutilation/cutting? Recent findings about urogynecologic complications, psychological issues, and obstetric outcomes","MINERVA OBSTETRICS AND GYNECOLOGY","10.23736/S2724-606X.23.05344-7",""
