"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-01/A","13/ECON-01","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-02/A","13/ECON-02","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-06/A","13/ECON-06","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-07/A","13/ECON-07","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-02/A","12/GIUR-02","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-06/A","12/GIUR-06","2"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-09/A","12/GIUR-09","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-15/A","12/GIUR-15","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-16/A","12/GIUR-16","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-03/A","14/GSPS-03","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-05/A","14/GSPS-05","2"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-06/A","14/GSPS-06","2"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-08/A","14/GSPS-08","1"
"PA","Professori Associati","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","PHIL-02/A","11/PHIL-02","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","BIOS-06/A","05/BIOS-06","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","BIOS-07/A","05/BIOS-07","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","BIOS-08/A","05/BIOS-08","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","BIOS-09/A","05/BIOS-09","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-03/A","06/MEDS-03","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-04/A","06/MEDS-04","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-05/A","06/MEDS-05","4"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-07/A","06/MEDS-07","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-07/B","06/MEDS-07","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-08/A","06/MEDS-08","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-08/B","06/MEDS-08","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-09/A","06/MEDS-09","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-09/B","06/MEDS-09","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-10/A","06/MEDS-10","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-11/A","06/MEDS-11","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-12/A","06/MEDS-12","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-14/C","06/MEDS-14","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-16/A","06/MEDS-16","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-21/A","06/MEDS-21","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-22/A","06/MEDS-22","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-23/A","06/MEDS-23","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-24/A","06/MEDS-24","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-24/B","06/MEDS-24","2"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-24/C","06/MEDS-24","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","MEDS-26/D","06/MEDS-26","1"
"PA","Professori Associati","Dipartimento di Medicina Traslazionale","PHIL-03/A","11/PHIL-03","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-01/D","05/BIOS-01","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-06/A","05/BIOS-06","2"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-07/A","05/BIOS-07","4"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-10/A","05/BIOS-10","2"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-11/A","05/BIOS-11","3"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-12/A","05/BIOS-12","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","BIOS-15/A","05/BIOS-15","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","CHEM-05/A","03/CHEM-05","2"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","CHEM-07/A","03/CHEM-07","4"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","CHEM-07/B","03/CHEM-07","2"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","CHEM-08/A","03/CHEM-08","2"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","MATH-01/B","01/MATH-01","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","MEDS-02/A","06/MEDS-02","1"
"PA","Professori Associati","Dipartimento di Scienze del Farmaco","PHYS-01/A","02/PHYS-01","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","BIOS-07/A","05/BIOS-07","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","BIOS-10/A","05/BIOS-10","2"
"PA","Professori Associati","Dipartimento di Scienze della Salute","BIOS-13/A","05/BIOS-13","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","BIOS-14/A","05/BIOS-14","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-01/A","06/MEDS-01","2"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-02/A","06/MEDS-02","3"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-02/B","06/MEDS-02","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-06/A","06/MEDS-06","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-08/C","06/MEDS-08","1"
