"Anno","Nome Corso","Tipologia","Cod Classe","Des Classe","Comune","Durata","Numeratore"
"2024-25","Alimenti Salute e Ambiente","","LM-6","Biologia","VERCELLI","2","117"
"2024-25","AMMINISTRAZIONE, PROFESSIONE E PERSONE","","LM-77","Scienze economico-aziendali","NOVARA","2","160"
"2024-25","Biologia","","LM-6","Biologia","ALESSANDRIA","2","156"
"2024-25","Biologia","","LM-6","Biologia","VERCELLI","2","11"
"2024-25","Biotecnologie","","L-2","Biotecnologie","NOVARA","3","1401"
"2024-25","BIOTECNOLOGIE FARMACEUTICHE","","LM-9","Biotecnologie mediche, veterinarie e farmaceutiche","NOVARA","2","90"
"2024-25","Biotecnologie mediche","","LM-9","Biotecnologie mediche, veterinarie e farmaceutiche","NOVARA","2","357"
"2024-25","Chimica","","L-27","Scienze e tecnologie chimiche","ALESSANDRIA","3","134"
"2024-25","Chimica e tecnologia farmaceutiche","","LM-13.","Farmacia e farmacia industriale","NOVARA","5","426"
"2024-25","Chimica verde","","L-27","Scienze e tecnologie chimiche","VERCELLI","3","106"
"2024-25","Disaster and Health Crisis Management","","LM-81","Scienze per la cooperazione allo sviluppo","VERCELLI","2","44"
"2024-25","ECONOMIA AZIENDALE","","L-18","Scienze dell'economia e della gestione aziendale","ALESSANDRIA","3","197"
"2024-25","ECONOMIA AZIENDALE","","L-18","Scienze dell'economia e della gestione aziendale","NOVARA","3","2073"
"2024-25","Economia e Management","","LM-56","Scienze dell'economia","ALESSANDRIA","2","127"
"2024-25","Educazione professionale (abilitante alla professione sanitaria di Educatore professionale)","","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","32"
"2024-25","Farmacia","","LM-13.","Farmacia e farmacia industriale","NOVARA","5","596"
"2024-25","Filologia moderna, classica e comparata","","LM-14","Filologia moderna","VERCELLI","2","117"
"2024-25","Filosofia e Comunicazione","","L-5","Filosofia","VERCELLI","3","325"
"2024-25","Filosofia, politica e studi culturali","","LM-62","Scienze della politica","VERCELLI","2","33"
"2024-25","Filosofia, politica e studi culturali","","LM-78","Scienze filosofiche","VERCELLI","2","47"
"2024-25","Fisica Applicata","","L-30","Scienze e tecnologie fisiche","VERCELLI","3","28"
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","24"
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","","L/SNT2","Professioni sanitarie della riabilitazione","FOSSANO","3","20"
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","","L/SNT2","Professioni sanitarie della riabilitazione","NOVARA","3","175"
"2024-25","Gestione Ambientale e Sviluppo Sostenibile","","L-32","Scienze e tecnologie per l'ambiente e la natura","VERCELLI","3","138"
"2024-25","GIURISPRUDENZA","","LMG/01","Magistrali in giurisprudenza","ALESSANDRIA","5","545"
"2024-25","GIURISPRUDENZA","","LMG/01","Magistrali in giurisprudenza","NOVARA","5","235"
"2024-25","Igiene dentale (abilitante alla professione sanitaria di Igienista dentale)","","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","71"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","ALBA","3","30"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","ALESSANDRIA","3","63"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","BIELLA","3","29"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","NOVARA","3","692"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","VERBANIA","3","35"
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","VERCELLI","3","32"
"2024-25","Informatica","","L-31","Scienze e tecnologie informatiche","ALESSANDRIA","3","743"
"2024-25","Informatica","","L-31","Scienze e tecnologie informatiche","VERCELLI","3","181"
"2024-25","Intelligenza Artificiale e Innovazione Digitale","","LM-18","Informatica","VERCELLI","2","64"
"2024-25","Intelligenza Artificiale e Innovazione Digitale","","LM-91","Tecniche e metodi per la societÃ  dell'informazione","VERCELLI","2","4"
"2024-25","Lettere","","L-10","Lettere","VERCELLI","3","306"
"2024-25","Lingue Straniere Moderne","","L-11","Lingue e culture moderne","VERCELLI","3","551"
"2024-25","Lingue, Culture, Turismo","","LM-37","Lingue e letterature moderne europee e americane","VERCELLI","2","96"
"2024-25","Lingue, Culture, Turismo","","LM-49","Progettazione e gestione dei sistemi turistici","VERCELLI","2","28"
"2024-25","MANAGEMENT E FINANZA","","LM-77","Scienze economico-aziendali","NOVARA","2","173"
"2024-25","Medicina e chirurgia","","LM-41","Medicina e chirurgia","ALESSANDRIA","6","92"
"2024-25","Medicina e chirurgia","","LM-41","Medicina e chirurgia","NOVARA","6","1203"
"2024-25","PROMOZIONE E GESTIONE DEL TURISMO","","L-15","Scienze del turismo","NOVARA","3","257"
"2024-25","Scienze Biologiche","","L-13","Scienze biologiche","ALESSANDRIA","3","1325"
"2024-25","Scienze Biologiche","","L-13","Scienze biologiche","VERCELLI","3","275"
"2024-25","Scienze Chimiche","","LM-54","Scienze chimiche","ALESSANDRIA","2","38"
"2024-25","Scienze infermieristiche e ostetriche","","LM/SNT1","Scienze infermieristiche e ostetriche","NOVARA","2","141"
"2024-25","Scienze Politiche e dell'Amministrazione","","L-36","Scienze politiche e delle relazioni internazionali","ALESSANDRIA","3","259"
"2024-25","Servizio Sociale","","L-39","Servizio sociale","ASTI","3","301"
"2024-25","Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di Tecnico di laboratorio biomedico)","","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","78"
"2024-25","Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di Tecnico di radiologia medica)","","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","67"
