"Anno","Codice inquadramento","Descrizione inquadramento","SEDE_CAP","Affrenza organizzativa","Afferenza organizzativa Polo","Numero PTAB"
"2024","0","Tecnologo a tempo determinato art. 24-bis Legge 240/2010","15121","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO","Polo di Novara","1"
"2024","0","Tecnologo a tempo determinato art. 24-bis Legge 240/2010","15121","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria","Polo di Alessandria","4"
"2024","0","Tecnologo a tempo determinato art. 24-bis Legge 240/2010","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO","Polo di Novara","5"
"2024","000D00","Dirigente","13100","Direzione Generale","Amministrazione Centrale","1"
"2024","000D00","Dirigente","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie","Amministrazione Centrale","1"
"2024","000D00","Dirigente","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio","Amministrazione Centrale","1"
"2024","000D00","Dirigente","13100","Direzione Generale - Divisione Qualità e Accreditamento","Amministrazione Centrale","1"
"2024","000D00","Dirigente","13100","Direzione Generale - Divisione Ricerca e Sviluppo","Amministrazione Centrale","1"
"2024","000D00","Dirigente comandato in entrata","13100","Direzione Generale - Divisione Didattica","Amministrazione Centrale","1"
"2024","5","Direttore generale (Legge 240/2010)","13100","Direzione Generale","Amministrazione Centrale","1"
"2024","6","Dirigente a contratto (incarico di seconda fascia)","13100","Direzione Generale - Divisione DPNRR","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Contabilità Generale e Gestione Fiscale","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Vercelli","Polo di Vercelli","2"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Tesoreria e Flussi di Cassa","Amministrazione Centrale","2"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Concorsi","Amministrazione Centrale","2"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Personale Docente e Ricercatore","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Personale Tecnico Amministrativo","Amministrazione Centrale","3"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Sviluppo Organiz., Benessere e Welfare","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Trattamenti Economici e Pensioni","Amministrazione Centrale","3"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Staff Programmazione economica e Bilancio","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Vercelli","Polo di Vercelli","7"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Vercelli","Polo di Vercelli","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student","Amministrazione Centrale","6"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di VC","Polo di Vercelli","2"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT - Ufficio Infrastrutture e Sistemi ICT","Amministrazione Centrale","2"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Vercelli","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Vercelli","Polo di Vercelli","3"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Appalti","Amministrazione Centrale","3"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Gestione Tecnica Patrimonio Edilizio","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Green e Inclusion Office","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Sviluppo Patrimonio Edilizio","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo VC","Polo di Vercelli","6"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Qualità e Accreditamento - Settore Accreditamento e Assicurazione Qualità - Ufficio Supporto PQA","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Dottorati","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Sviluppo e Monitoraggio della Ricerca","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Comunicazione e Attività Istituzionali","Amministrazione Centrale","4"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Eventi, Orientamento e Public Engagement","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Settore di Supporto agli Organi Collegiali","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","13100","Direzione Generale - Staff Servizi Legali di Ateneo","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Alessandria","Polo di Alessandria","4"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Formazione","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria","Polo di Alessandria","14"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Alessandria","Polo di Alessandria","3"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di AL","Polo di Alessandria","1"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT - Ufficio Gestione Domanda e Trasformazione Digitale","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT - Ufficio Infrastrutture e Sistemi ICT","Amministrazione Centrale","1"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo AL","Polo di Alessandria","2"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL","Polo di Alessandria","5"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione Qualità e Accreditamento - Settore Accreditamento e Assicurazione Qualità - Ufficio Supporto PQA","Amministrazione Centrale","2"
"2024","CO0","Area dei Collaboratori","15121","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria","Polo di Alessandria","1"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara","Polo di Novara","3"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara","Polo di Novara","22"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Scuole di Specializzazione","Polo di Novara","1"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Novara","Polo di Novara","3"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di NO","Polo di Novara","1"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Novara","Polo di Novara","2"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo NO","Polo di Novara","10"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO","Polo di Novara","1"
"2024","CO0","Area dei Collaboratori","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara","Polo di Novara","2"
"2024","D000","Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - cl. 0","13100","DiSSTE","Polo di Vercelli","1"
"2024","D000","Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - cl. 0","13100","DISUM","Polo di Vercelli","4"
"2024","D020","Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - cl. 2","13100","DISUM","Polo di Vercelli","1"
"2024","D023","Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - col.C - cl.2 - III anno","13100","DISUM","Polo di Vercelli","2"
"2024","D023","Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - col.C - cl.2 - III anno","28100","DiSEI","Polo di Novara","1"
"2024","D060","Lettore eq. Ricercatore DPR 232/11 art.2 - t.defin. - cl. 6","13100","DISUM","Polo di Vercelli","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo.","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di VC","Polo di Vercelli","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Rettorato - Settore Sicurezza, Prevenzione e Protezione","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","13100","Direzione Generale - Rettorato - Staff del Rettore e Comunicazione","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di AL","Polo di Alessandria","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione DPNRR - Staff Sviluppo e A. I. e Coordinamento PNRR","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica","Polo di Alessandria","1"
"2024","EL0","Area delle Elevate Professionalità","15121","Direzione Generale - Divisione Qualità e Accreditamento - Settore Attività Istituzionali e Supporto al NdV","Amministrazione Centrale","1"
"2024","EL0","Area delle Elevate Professionalità","28100","Direzione Generale - Divisione Didattica - Staff Sviluppo, Analisi, Innovazione","Polo di Novara","1"
"2024","EL0","Area delle Elevate Professionalità","28100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di NO","Polo di Novara","1"
"2024","EL0","Area delle Elevate Professionalità","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO","Polo di Novara","1"
"2024","EL0","Area delle Elevate Professionalità","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara","Polo di Novara","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Contabilità Generale e Gestione Fiscale","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Vercelli","Polo di Vercelli","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Tesoreria e Flussi di Cassa","Amministrazione Centrale","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Concorsi","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Personale Docente e Ricercatore","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Personale Tecnico Amministrativo","Amministrazione Centrale","4"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Performance e Premialità","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Sviluppo Organiz., Benessere e Welfare","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Trattamenti Economici e Pensioni","Amministrazione Centrale","4"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Staff Programmazione economica e Bilancio","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Staff Sviluppo e Attività Istituzionali DPRF","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Vercelli","Polo di Vercelli","6"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Vercelli","Polo di Vercelli","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student","Amministrazione Centrale","8"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.","Amministrazione Centrale","5"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Didattica - Staff Sviluppo, Ord. did. e Affari Istituzionali","Amministrazione Centrale","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di VC","Polo di Vercelli","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Appalti","Amministrazione Centrale","5"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Patrimonio e Contratti","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Gestione Tecnica Patrimonio Edilizio","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Green e Inclusion Office","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Edilizia - Ufficio Sviluppo Patrimonio Edilizio","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo VC","Polo di Vercelli","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Staff Sviluppo e Attività Istituzionali DELP","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Qualità e Accreditamento - Staff di Supporto al RPCT","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Laboratori Polo di Vercelli","Polo di Vercelli","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Progettazione e Gestione Ricerca Polo VC","Polo di Vercelli","4"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Dottorati","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Sviluppo e Monitoraggio della Ricerca","Amministrazione Centrale","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Trasferimento Tecnologico e Terza Missione","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Divisione Ricerca e Sviluppo - Staff Sviluppo e Attività Istituzionali DRS","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Rettorato - Settore Sicurezza, Prevenzione e Protezione","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Comunicazione e Attività Istituzionali","Amministrazione Centrale","5"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Eventi, Orientamento e Public Engagement","Amministrazione Centrale","5"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Rettorato - Staff Ufficio Data Mining and Managing","Amministrazione Centrale","3"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Settore di Supporto agli Organi Collegiali","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","13100","Direzione Generale - Staff di Supporto alla DG e Rapporti con il S.S.N.","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Alessandria","Polo di Alessandria","2"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Formazione","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Staff Sviluppo e Attività Istituzionali DPRF","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione - Ufficio Amministrazione e Supporto Giuridico","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria","Polo di Alessandria","10"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Alessandria","Polo di Alessandria","5"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di AL","Polo di Alessandria","3"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT - Ufficio Gestione Domanda e Trasformazione Digitale","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione DPNRR - Settore Infrastrutture e Sistemi ICT - Ufficio Infrastrutture e Sistemi ICT","Amministrazione Centrale","2"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo AL","Polo di Alessandria","3"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL","Polo di Alessandria","2"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Qualità e Accreditamento - Settore Accreditamento e Assicurazione Qualità","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria","Polo di Alessandria","14"
"2024","FU0","Area dei Funzionari","15121","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Progettazione e Gestione Ricerca Polo AL","Polo di Alessandria","4"
"2024","FU0","Area dei Funzionari","28100","DiMeT","Polo di Novara","3"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara","Polo di Novara","4"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione - Ufficio Centri e Innovazione Didattica","Polo di Novara","1"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara","Polo di Novara","15"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Scuole di Specializzazione","Polo di Novara","3"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Novara","Polo di Novara","3"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.","Polo di Novara","1"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione DPNRR - Settore Coord. Centro di Servizi - Polo di NO","Polo di Novara","4"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Novara","Polo di Novara","6"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo NO","Polo di Novara","3"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Qualità e Accreditamento - Settore Attività Istituzionali e Supporto al NdV","Amministrazione Centrale","1"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO","Polo di Novara","18"
"2024","FU0","Area dei Funzionari","28100","Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara","Polo di Novara","4"
