"anno","Descrizione Corso di studio","Tipologia","Codice Classe","Descrizione Classe","Sede","Durata Corso","Immatricolati puri L, LMCU","",""
"2024-25","Biotecnologie","Laurea","L-2","Biotecnologie","NOVARA","3","630","",""
"2024-25","Chimica","Laurea","L-27","Scienze e tecnologie chimiche","ALESSANDRIA","3","34","",""
"2024-25","Chimica e tecnologia farmaceutiche","Laurea magistrale a ciclo unico 5","LM-13.","Farmacia e farmacia industriale","NOVARA","5","60","",""
"2024-25","Chimica verde","Laurea","L-27","Scienze e tecnologie chimiche","VERCELLI","3","40","",""
"2024-25","ECONOMIA AZIENDALE","Laurea","L-18","Scienze dell'economia e della gestione aziendale","ALESSANDRIA","3","175","",""
"2024-25","ECONOMIA AZIENDALE","Laurea","L-18","Scienze dell'economia e della gestione aziendale","NOVARA","3","520","",""
"2024-25","Educazione professionale (abilitante alla professione sanitaria di Educatore professionale)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","9","",""
"2024-25","Farmacia","Laurea magistrale a ciclo unico 5","LM-13.","Farmacia e farmacia industriale","NOVARA","5","65","",""
"2024-25","Filosofia e Comunicazione","Laurea","L-5","Filosofia","VERCELLI","3","71","",""
"2024-25","Fisica Applicata","Laurea","L-30","Scienze e tecnologie fisiche","VERCELLI","3","12","",""
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","8","",""
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","FOSSANO","3","7","",""
"2024-25","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","NOVARA","3","13","",""
"2024-25","Gestione Ambientale e Sviluppo Sostenibile","Laurea","L-32","Scienze e tecnologie per l'ambiente e la natura","VERCELLI","3","29","",""
"2024-25","GIURISPRUDENZA","Laurea magistrale a ciclo unico 5","LMG/01","Magistrali in giurisprudenza","ALESSANDRIA","5","59","",""
"2024-25","GIURISPRUDENZA","Laurea magistrale a ciclo unico 5","LMG/01","Magistrali in giurisprudenza","NOVARA","5","102","",""
"2024-25","Igiene dentale (abilitante alla professione sanitaria di Igienista dentale)","Laurea","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","13","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","ALBA","3","26","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","ALESSANDRIA","3","40","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","BIELLA","3","23","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","NOVARA","3","72","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","VERBANIA","3","25","",""
"2024-25","Infermieristica (abilitante alla professione sanitaria di Infermiere)","Laurea","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica","VERCELLI","3","24","",""
"2024-25","Informatica","Laurea","L-31","Scienze e tecnologie informatiche","ALESSANDRIA","3","118","",""
"2024-25","Informatica","Laurea","L-31","Scienze e tecnologie informatiche","VERCELLI","3","154","",""
"2024-25","Lettere","Laurea","L-10","Lettere","VERCELLI","3","48","",""
"2024-25","Lingue Straniere Moderne","Laurea","L-11","Lingue e culture moderne","VERCELLI","3","136","",""
"2024-25","Medicina e chirurgia","Laurea magistrale a ciclo unico 5","LM-41","Medicina e chirurgia","ALESSANDRIA","6","35","",""
"2024-25","Medicina e chirurgia","Laurea magistrale a ciclo unico 5","LM-41","Medicina e chirurgia","NOVARA","6","70","",""
"2024-25","PROMOZIONE E GESTIONE DEL TURISMO","Laurea","L-15","Scienze del turismo","NOVARA","3","79","",""
"2024-25","Scienze Biologiche","Laurea","L-13","Scienze biologiche","ALESSANDRIA","3","258","",""
"2024-25","Scienze Biologiche","Laurea","L-13","Scienze biologiche","VERCELLI","3","228","",""
"2024-25","Scienze Politiche e dell'Amministrazione","Laurea","L-36","Scienze politiche e delle relazioni internazionali","ALESSANDRIA","3","78","",""
"2024-25","Servizio Sociale","Laurea","L-39","Servizio sociale","ASTI","3","59","",""
"2024-25","Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di Tecnico di laboratorio biomedico)","Laurea","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","15","",""
"2024-25","Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di Tecnico di radiologia medica)","Laurea","L/SNT3","Professioni sanitarie tecniche","NOVARA","3","12","",""
